Projeto;;;;;;;;;;
Monitorar;;;;;;;;;;
07-25-2025 18:12:28;;;;;;;;;;
Componente;Propriedade;Valor;Alterar após Trap;Amostragem;Intervalo de amostragem;Registro;Tamanho do buffer;Estado;Determinar;Propagar estado
10.235.0.253;Arquivo de Configuração;"
!Current Configuration:
!
!Parameter string escape handling \, 1
!Characters to be preceded with escape char (\): \, !, "", ', ?

!System Description ""AFR677""
!System Version AL3-08.0.09 Build: 2015-04-07 04:58
!Pre-login banner

set pre-login-banner text ""IMPORTANTE: EQUIPAMENTO DE USO RESTRITO!!!! \\nACESSO SOMENTE POR PESSOAS AUTORIZADAS, COM LOG DE EVENTOS GRAVADOS. \\nRAMAL DE SUPORTE: 866-5363/5454"" 

vlan database
vlan  10 
vlan  20 
vlan  30 
vlan  40 
exit 

network protocol none
network parms 192.168.1.100 255.255.255.0 0.0.0.0
!RMA operation
!RMA entry


configure 

snmp-server sysname "" ROUTER TORRE SUL""
snmp-server location ""VALE EFC""
snmp-server contact ""HITACHI ENERGY BRASIL""
!


interface  1/1 
name ""FOX 660 P10""

no spanning-tree port mode

routing
ip address  10.0.0.9  255.255.255.240
exit


interface  1/2 

no spanning-tree port mode

exit


interface  1/3 

no spanning-tree port mode

exit


interface  1/4 

no spanning-tree port mode

exit


interface  1/5 

no spanning-tree port mode

exit


interface  1/6 

no spanning-tree port mode

exit


interface  1/7 
name ""AFS 5S VITAL P5""
cable-crossing enable
no auto-negotiate
speed 100 full-duplex

no spanning-tree port mode

exit


interface  1/8 

no spanning-tree port mode

exit


interface  1/9 
name ""AFS 5S TELEM P7""
cable-crossing enable
no auto-negotiate
speed 100 full-duplex

no spanning-tree port mode

routing
ip address  10.235.0.253  255.255.0.0
exit


interface  1/10 
name ""AFS 5S VOIP P8""
cable-crossing enable
no auto-negotiate
speed 100 full-duplex

no spanning-tree port mode

exit


interface  1/11 
name ""AFS 5S GER P10""
cable-crossing enable
no auto-negotiate
speed 100 full-duplex

no spanning-tree port mode

routing
ip address  192.168.25.1  255.255.255.0
exit


interface  1/12 
name ""AFS 9S VITAL P5""

no spanning-tree port mode

routing
ip address  10.109.0.254  255.255.0.0
exit


interface  1/13 
name ""AFS 9S NVITAL P6""
no lldp med

no spanning-tree port mode

routing
ip address  10.209.0.254  255.255.0.0
exit


interface  1/14 
name ""AFS 9S TELEM P7""

no spanning-tree port mode

routing
ip address  10.239.0.252  255.255.0.0
exit


interface  1/15 
name ""AFS 9S VOIP P8""

no spanning-tree port mode

exit


interface  1/16 
name ""AFS 9S GER P10""

no spanning-tree port mode

routing
ip address  192.168.29.1  255.255.255.0
exit


!Address Conflict Detection

!Bridge Address Learning

!Maximum size of frame (packet size)

!Bridge Address Relearn Detection

!Bridge Address Relearn Threshold

!Bridge Duplex Mismatch Detection

!VLAN Learning


!ABB DHCP Relay

!ABB Device Status


!DHCP Server
!DHCP Server pools


!Mac Notification Global State

!Power over Ethernet (IEEE 802.3af)

!IEC61850 MMS Server

!Selftest

!Skip CRA on boot

!E-MRP
!No E-MRP ID exist.

!Sub-Ring
!No Sub-Ring ID exist.

!LLDP (IEEE802.1AB Link Layer Discovery Protocol)


!Media Redundancy Protocol (IEC 62439-2/Ed1.0, MRP)
!No MRP domains exist.

!Advanced Ring Configuration and Diagnostics


!No entries in alarm table

!MAC/IP Based Port Security


!Port Monitor


!Auto Disable


!ABB Precision Time Protocol (PTP, IEEE 1588)

!ABB Ring Coupling
!Note: master/slave (also for single) part of configuration determined by
!      management

!ABB Signal Contacts


!ABB SNMP Access Control


!SNTP
sntp client accept-broadcast off
sntp client request-interval 3600
sntp client offset -180
sntp client server primary 192.168.20.133
sntp operation on
sntp operation server off


!ABB Broadcast Limiter


!ABB Temperature Limit Settings

ip routing

ip route 192.168.20.0 255.255.255.0 10.0.0.1 
ip route 10.222.0.0 255.255.0.0 10.0.0.1 
ip route 192.168.13.0 255.255.255.0 10.0.0.1 
ip route 172.29.182.0 255.255.255.0 10.0.0.1 
ip route 10.192.30.0 255.255.255.0 10.0.0.1 
ip route 10.192.22.0 255.255.255.0 10.0.0.1 

users passwd admin :v1::
users snmpv3 authentication admin md5
users snmpv3 encryption admin des :v1::
users passwd user :v1::
users snmpv3 authentication user md5
users snmpv3 encryption user des :v1::


lineconfig
exit 

no spanning-tree
snmp-server community ""TelRouterEfc0""
!Tracking


!IGMP Snooping
router ospf 
exit

router rip 
exit


exit 
";Alterar após Trap;true;1 Dias;false;0;Sem Estado;false;true
10.235.0.253;Assinatura de Configuração;89 a4 8a 8a;true;true;1 Horas;false;0;Sem Estado;false;true
10.235.0.253;Estado da Configuração;Salvo;true;true;5 Minutos;false;0;OK;true;true
10.235.0.253;Temperatura;41;true;true;30 Segundos;false;0;OK;true;true
10.235.0.253 - Protocolos - Protocolo Ping;Tempo Máximo de Resposta;15;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo Ping;Tempo Mínimo de Resposta;14;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo Ping;Perda de Mensagem;0;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo Ping;Desvio Padrão;0;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo Ping;Tempo de resposta médio de movimentação;0;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo Ping;Tempo de Resposta Médio;15;false;true;30 Segundos;false;0;Sem Estado;false;true
